모기지수 발생일,모기지수(수변부),모기지수(주거지),모기지수(공원),평균기온(°C),최저기온(°C),최고기온(°C),평균상대습도
2022-03-17,24.9,9.6,0,8.2,4.9,13.2,90.3
2022-03-16,12.1,0.2,0,11.7,10.7,12.6,95.5
2022-03-16,39.3,13.1,0.6,12.8,6.3,19.5,72.1
2022-03-15,71.5,25.5,19.4,11.2,5.1,18.4,58.4
2022-03-14,47.1,21.6,7.9,9.3,4.2,15.8,51.4
2022-03-13,40.4,17.4,3.5,7.1,1.7,14.8,69.6
2022-03-12,35.4,13.9,0,6,1.1,12.3,56.1
2022-03-11,21.5,7.6,0,2.8,-2.7,8.7,45.8
2022-03-10,18.2,6.7,0,1.4,-3,6.8,39.5
2022-03-09,0,0,0,2.3,-0.7,6.7,38.4
2022-03-08,0,0,0,6.9,0.6,14.6,60.5
2022-03-07,8.2,0.5,0,5.8,0.9,12.4,52.9
2022-03-06,15.4,7.2,0,3.5,-2.3,8.8,55.9
2022-03-05,17.1,5.9,0,5.8,0.3,9.7,70.5
2022-03-04,0,2.2,0,6.8,2.7,11.5,62.3
2022-03-03,13.8,8.9,0,3.7,-1.6,9.1,56.6
2022-03-02,27.1,10.3,0,5.4,1,9.3,78.4
2022-03-01,3.2,2.5,0,3,-3.6,8.4,77.5
2022-02-28,17.7,8,0,-2.4,-8.5,3.7,52.4
2022-02-27,0,1,0,-5.6,-10,-0.6,38.5
2022-02-26,0,0,0,-4.5,-8,0.5,43.3
2022-02-25,0,0,0,-3,-8.1,3.6,56.3
2022-02-24,0,0,0,-4.8,-8.4,-0.5,41.1
2022-02-23,0,0,0,-1.7,-6.2,3.7,52.9
2022-02-22,0,0,0,-1.2,-8,5.7,40.4
2022-02-21,0,0,0,-6.2,-10.7,-0.5,41.6
2022-02-20,0,0,0,-7.3,-9.6,-4.1,50.4
2022-02-19,0,0,0,-4.7,-7.7,-1.3,58
2022-02-18,0,0,0,2.5,-1.3,8.1,68.3
2022-02-17,0,0,0,4.8,1.6,9.5,44.9
2022-02-16,4.9,0,0,4.8,-0.1,10.4,50.4
2022-02-15,21,5.8,0,2.9,-2.6,8.8,61.1
2022-02-14,11.6,4.8,0,1.4,-3.2,6.7,57.8
2022-02-13,0,0.2,0,1,-4.3,7.2,52.3
2022-02-12,0,0,0,-0.1,-4.1,5.6,53.8
2022-02-11,0,0,0,-2.5,-7.3,1.9,51.3
2022-02-10,0,0,0,-3.9,-8.4,1.7,50.3
2022-02-09,0,0,0,-6.6,-9.7,-2,48.8
2022-02-08,0,0,0,-5.2,-8.2,-0.7,53.3
2022-02-07,0,0,0,-3.4,-6.9,0.4,52.4
2022-02-06,0,0,0,-3.4,-6,0,60.5
2022-02-05,0,0,0,-1.3,-2.7,0.9,76.6
2022-02-04,0,0,0,-0.7,-6.8,4.8,59
2022-02-03,0,0,0,-2.8,-8,2.4,45.4
2022-02-02,0,0,0,-3.6,-7.2,0.9,48.9
2022-02-01,0,0,0,-2.7,-5.9,2.1,51.6
2022-01-31,0,0,0,-1.1,-4.6,4,50
2022-01-30,0,0,0,1.3,-1.9,6.8,62.8
2022-01-29,0,0,0,2.8,1.9,4.5,80
2022-01-28,1.6,0,0,4.6,1.3,8.4,56
2022-01-27,22.7,4.6,0,2,-0.6,6.7,52.4
2022-01-26,19.3,6.3,0,0.3,-5,7.1,52.4
2022-01-25,8.8,0,0,-2.7,-8.7,4.6,55.6
2022-01-24,12.1,0.2,0,-5,-9.8,0.9,63.5
2022-01-23,12.1,0.2,0,-5.3,-7.7,-2.7,72.3
2022-01-22,0,0,0,-5.6,-9.9,-0.7,47.9
2022-01-21,0,0,0,-5.8,-9.2,0.1,59.9
2022-01-20,0,0,0,-2,-7.2,2.4,54.5
2022-01-19,0,0,0,-1,-5.3,1.8,48.3
2022-01-18,0,0,0,-4.8,-10.1,1.3,41.8
2022-01-17,0,0,0,-6.4,-8.9,-3.1,45.8
2022-01-16,0,0,0,-7.7,-11.3,-3.4,47.8
2022-01-15,0,0,0,-7.4,-10.3,0.3,55.5
2022-01-14,0,0,0,0.5,-3.4,4.4,68.3
2022-01-13,0,0,0,1.3,-1.2,5.6,71.5
2022-01-12,0,0,0,0.3,-5,3.7,64.3
2022-01-11,5.4,0,0,-1.6,-5.9,4.5,47.1
2022-01-10,0,0,0,-2.2,-5.9,3.3,47.1
2022-01-09,0,0,0,-2.8,-7.8,1.9,47.6
2022-01-08,0,0,0,-2.5,-5.6,1,51.8
2022-01-07,0,0,0,-1.9,-8,2.5,58.3
2022-01-07,0,0,0,-1.3,-5.2,3,57.9
2022-01-06,0,0,0,-4.3,-10.2,2.3,46.3
2022-01-05,0,0,0,-6.7,-8.8,-3.9,35.9
2022-01-04,0,0,0,-3.9,-6.8,0.2,48.5
2022-01-03,0,0,0,0.4,-3.8,5.9,72.9
2022-01-02,0,0,0,-4.1,-8.5,-0.9,73.8
2022-01-01,0,0,0,-7.6,-12.9,-3.9,60.9
2021-12-31,0,0,0,-12.1,-15.5,-7.3,43.5
2021-12-30,0,0,0,-11.7,-14.4,-7.3,42.4
2021-12-29,0,0,0,-0.3,-7.3,3.2,65.3
2021-12-28,0,0,0,2.7,-1.5,8.3,53.5
2021-12-27,0,0,0,2.2,-2.6,8.2,47.4
2021-12-26,0,0,0,5.2,0.8,8.9,70.9
2021-12-25,3.8,0.1,0,5.2,-0.9,11.1,77.9
2021-12-24,0,0,0,-0.8,-5.8,4.2,63.8
2021-12-23,16.5,7.8,0,-5.7,-11.2,-1.8,64.1
2021-12-22,7.1,5.4,0,-5.6,-10.1,3.2,50.5
2021-12-21,0,0,0,6.4,3.3,9.8,71.6
2021-12-20,0,0,0,7.2,5.4,10,84.8
2021-12-19,0,0,0,3.7,-0.7,8.2,64.9
2021-12-18,30.4,10.8,0,-2.2,-5.9,1.9,43.8
2021-12-17,42.1,13.3,0.9,1.2,-3.8,5.1,61.8
2021-12-16,8.2,3.5,0,6,4.4,9.8,83.6
2021-12-15,0,0,0,7,5.8,8.2,81.5
2021-12-14,0,0,0,6.5,2.7,9.7,70.3
2021-12-13,36.5,9.5,0,6.7,1.9,13.3,70
2021-12-12,12.1,0.2,0,6.8,2.6,13.3,68.3
2021-12-11,27.1,11.3,0,5.4,-0.7,12.1,61.4
2021-12-10,22.7,7.9,0,2.9,-2.3,9.6,50.4
2021-12-09,26.5,8.3,0,1.4,-2.7,7,48.5
2021-12-08,8.2,4.9,0,1.9,-1.8,4.6,53.3
2021-12-07,0,0,0,1.3,-4.6,5,68.9
2021-12-06,0,0,0,-1.3,-3,1.5,51.8
2021-12-05,2.1,1.5,0,5.7,0.7,8.9,80.4
2021-12-04,0,0,0,7.6,2.5,13.7,62
2021-12-03,0,0,0,5.1,-1.3,12.4,52.4
2021-12-02,16,9.5,0,3.4,-1.4,10.1,53
2021-12-01,26,10.5,0,2.9,-0.5,7.2,57.5
2021-11-30,4.9,3.6,0,5.7,2.6,9.9,55
2021-11-29,4.3,0.4,0,4.1,-2.6,9.1,64.3
2021-11-28,9.3,2,0,-0.6,-3.7,2.3,60.9
2021-11-27,26.5,8.4,0,2.7,-0.6,7.5,61.8
2021-11-26,0,3.9,0,10.4,7.6,13.1,74.4
2021-11-25,0,0,0,10.4,6.8,15.6,77
2021-11-24,8.8,1,0,12.9,10.2,16.7,84.8
2021-11-23,54.3,20.6,9.4,11.9,7.7,16.2,70.8
2021-11-22,49.9,17.8,7.9,7.5,2.7,12.5,64.1
2021-11-21,68.7,25,19.5,8.5,4.4,13.6,65.5
2021-11-20,54.9,22.2,11.1,10.1,5.8,15.7,71.3
2021-11-19,27.1,11.5,0,11.3,7.8,16.4,69.8
2021-11-18,36.5,13.7,0,7.3,0.5,13.4,66.1
2021-11-17,44.3,16.7,4.6,4.5,1.3,8.6,55.4
2021-11-16,55.4,20,11.5,5.3,2.1,9.7,60.6
2021-11-15,14.9,9.9,0,4.2,0.7,7.7,73.4
2021-11-14,19.3,5.8,0,4.9,3,6.5,80.3
2021-11-13,23.8,7.2,0,8.6,4.5,15.5,82.1
2021-11-12,16,5.8,0,15.3,9.7,21.3,57.5
2021-11-11,28.8,9.5,0,14.1,8.8,21.3,61.1
2021-11-10,37.1,11.9,0.3,13,7.8,20.2,68.5
2021-11-09,66,28,19.9,12.1,8.4,16.3,80.4
2021-11-08,61,23.9,17,12.1,7.6,17.1,71.1
2021-11-07,55.4,21.5,13.2,11.5,7.9,16.9,76.6
2021-11-06,58.7,22.8,13.4,12.9,10.3,16.9,77.3
2021-11-05,54.3,21.9,11.2,14.1,9.2,20.3,73.3
2021-11-04,56,20.1,13.2,13.8,11,18,62.4
2021-11-03,69.3,24.8,20,14.6,10.5,20.6,55.9
2021-11-02,63.2,25,18.1,12.7,7.1,20,54.6
2021-11-01,73.2,26.6,23.1,13.4,9.8,18.1,63.4
2021-10-31,70.4,26.4,22.8,13,7.7,19,74.5
2021-10-30,51.5,20.7,10.8,11.7,6.3,17.6,64.5
2021-10-29,66.5,25.1,19.1,11.4,6,18.1,63.1
2021-10-28,54.9,22.8,12.3,11.4,5.7,18.4,57.3
2021-10-27,47.1,20,7.1,10.8,5.2,17.2,58.4
2021-10-26,45.4,18.4,7.4,9.8,4.9,16.2,64.1
2021-10-25,43.8,18.1,5.5,9.5,4.6,15.8,64.9
2021-10-24,41,17.4,4.4,10.9,7.1,15,72.8
2021-10-23,39.3,15.1,2,9.6,2.8,16.1,60.4
2021-10-22,37.6,14.6,0.7,5.6,1.3,10.8,37.4
2021-10-21,51.5,20.2,8.6,10.7,4.2,18.1,47.5
2021-10-20,27.7,14.6,0,19,17,21.4,74.4
2021-10-19,19.3,7,0,19.7,17.4,23.9,73.6
2021-10-18,35.4,16.1,0.4,19.6,14.9,25.2,66.6
2021-10-17,100,40.3,44.4,17.9,15.8,21.3,67.1
2021-10-16,100,39.9,52,15.2,12.6,17.8,78.6
2021-10-15,94.8,38.1,38.8,19.9,14.9,24.3,89
2021-10-14,99.8,36.7,40,20.9,18.5,24.1,83.5
2021-10-13,82.1,31.5,27.9,18.8,17.5,20,91.3
2021-10-13,82.1,31.5,27.9,19.4,17.9,21.9,85.5
2021-10-12,94.8,40.1,38.4,18.8,17.9,21.7,91.5
2021-10-11,100,43.7,50.1,23.6,21.7,26.5,82.4
2021-10-10,100,41.2,45,22.9,19.2,25.6,81
2021-10-10,100,41.2,45,22.3,17.1,28.8,69.5
2021-10-09,100,41.1,47.2,20.7,16.4,26.6,77.1
2021-10-08,100,39.3,47.1,21.1,16.9,27.5,75.8
2021-10-07,100,50.1,61.7,20.3,16,25.9,83.9
2021-10-06,100,48.7,53.1,20.2,17.8,21.4,93.5
2021-10-06,100,48.7,53.1,21.5,19.6,24.4,75.1
2021-10-06,100,48.7,53.1,21.6,18.7,25,66
2021-10-05,100,43.2,47.6,22.6,18.4,27.3,63
2021-10-04,100,40.2,44.3,21.2,18.7,23.1,72.6
2021-10-03,100,40.6,46.5,21.8,16.7,26.9,67.5
2021-10-02,100,39.7,45.1,20.9,16.9,25.9,67.3
2021-10-01,100,44.3,47.6,20.2,16.8,24.3,79
2021-09-30,100,45.4,53.9,22,17.4,26.2,85.1
2021-09-29,100,45,51.2,23.7,19,28.4,63.6
2021-09-28,100,45.8,51.2,23.7,20.8,27.8,62.9
2021-09-27,100,45.8,50.3,23.9,18.9,29.8,65.1
2021-09-26,100,43.6,45.5,23.5,20.5,28.2,61.4
2021-09-25,100,41.7,52,22.9,18,27.3,61.1
2021-09-24,100,41.1,44.6,23.6,19.5,28.9,57.5
2021-09-23,100,45,47.5,24.6,20,29.5,63.3
2021-09-23,100,45,47.5,24.8,20.8,30.3,67.1
2021-09-22,100,48.3,53.7,24.2,19.2,29.8,64.6
2021-09-21,100,49,59.4,24,19.9,29.4,73.1
2021-09-20,100,47.4,54,23.6,19.5,28.9,76
2021-09-19,100,47.9,58.5,23.5,19.1,29.1,76.5
2021-09-18,100,46.8,50.7,22.2,19,26.9,81.3
2021-09-17,100,47.4,56.1,19.6,17.6,20.9,98.1
2021-09-16,100,50.1,57.4,22.3,18,26.4,70.1
2021-09-15,100,49.9,65.6,23.1,19.4,27.3,61.1
2021-09-15,100,49.9,65.6,23.2,18.5,28.6,57
2021-09-14,100,48.4,54.9,24.3,20.6,29.2,60.3
2021-09-13,100,48.2,57.1,23.5,20.7,26.7,70.3
2021-09-12,100,47.4,56,21.4,18.5,23.9,83.1
2021-09-11,100,46.9,55.1,20.5,18.1,23.1,93.3
2021-09-10,100,44.9,53,24.2,21.2,27.7,77.5
2021-09-09,100,42.9,45.7,23.7,21.9,26.3,82.6
2021-09-08,100,45.8,49.5,23.6,19.7,28.2,80.4
2021-09-07,100,47.5,54.5,22.4,20.4,25.5,83.5
2021-09-06,100,46.4,52.1,25.5,22.9,27.9,84.9
2021-09-05,100,49.4,59.3,25,23.5,27.3,85.5
2021-09-04,100,49.5,58.5,23.4,21.1,26.4,93.6
2021-09-04,100,49.5,58.5,22.4,21,24,89.3
2021-09-03,100,45.6,50,24.4,22.4,27,81.5
2021-09-02,100,43.5,49.4,23.8,21,25.5,88.1
2021-09-01,100,50.8,60.6,26.6,22.6,30.7,63.6
2021-08-31,100,50.7,62.3,26,21,31.5,57.1
2021-08-30,100,48.2,55.9,24.3,20.6,31,69.6
2021-08-29,100,47.2,57,25.9,21.9,31.3,65
2021-08-28,100,54.9,66.3,27.3,22.5,32.8,61.1
2021-08-27,100,53.9,68.1,26.9,21.7,32.4,59.6
2021-08-27,100,53.9,68.1,26.1,23.4,30.5,63.9
2021-08-26,100,49.5,61.4,26.6,23.4,30.1,70.4
2021-08-25,100,48.8,58.5,26.8,24,31.7,67.1
2021-08-24,100,52.2,64.2,27.4,24.1,31.6,70.3
2021-08-24,100,52.2,64.2,27.7,24.3,32.2,62.5
2021-08-23,100,51.9,59,28.3,23.3,33.6,62.4
2021-08-22,100,55.5,66.5,26.8,24.4,32.1,74.8
2021-08-21,100,52.6,61.6,28,23.4,32.3,65
2021-08-20,100,47.4,60.1,28.1,26,32.2,68.4
2021-08-19,100,52.5,64.5,29.4,25.6,33.7,68.1
2021-08-18,100,55.5,67.1,28.9,26.3,33.2,70.6
2021-08-17,100,54.6,64.3,28,24.1,31.4,76.9
2021-08-16,100,54,69.1,26.5,25,28.6,82.6
2021-08-15,100,56.2,68.9,27.1,25.1,28.8,81.8
2021-08-14,100,55.1,71.6,29.8,26.8,34.3,69.9
2021-08-13,100,57.2,77.4,30.5,25.8,35.4,63.1
2021-08-12,100,57.5,72.8,29.6,27,33.3,69.9
2021-08-11,100,58,70.1,30.4,27.1,34.7,67.4
2021-08-10,100,54.6,73.1,31.1,27.8,35.7,60.5
2021-08-09,100,58.4,69.9,31.2,27.4,35.4,54.9
2021-08-08,100,58.9,78.4,31.5,27.2,35.9,55.8
2021-08-07,100,61.6,77.7,31.7,26.9,36.5,57.4
2021-08-06,100,60.5,79.8,31.2,27.2,35.8,61.8
2021-08-06,100,60.5,79.8,31.2,26.5,35.9,59.8
2021-08-05,100,59.4,71.8,30.5,25.3,35.3,64
2021-08-04,100,57.5,73.5,27.9,23.6,31.8,75.8
2021-08-03,100,59.3,73.9,26.4,24,30.5,80.1
2021-08-02,100,62.3,82.2,29.6,25.7,34.1,62.5
2021-08-01,100,63.4,80.2,29.1,24.7,32.8,63.1
2021-07-31,100,62.7,82.1,28.8,24.2,35.2,68.4
2021-07-30,100,63.8,83.1,29.1,25.9,34.5,71.1
2021-07-29,100,65.1,87.6,29.7,26.1,33.5,71.4
2021-07-28,100,65.7,89.3,28.8,26.3,31.5,76.1
2021-07-27,100,66.2,84,28.1,23.8,32.5,75.1
2021-07-27,100,66.2,84,25.7,24.1,27.5,86.8
2021-07-26,100,66.2,83.2,25.9,23.1,29.2,80.4
2021-07-25,100,65.3,84.4,25.5,23.6,29.2,77.3
2021-07-24,100,65.2,82.3,26,23.8,29.8,81.6
2021-07-24,100,65.2,82.3,26.4,23.9,29.1,78.5
2021-07-23,100,63.5,77.4,25.3,21,30.1,73.4
2021-07-22,100,58.7,73.4,23.3,20.1,26.9,80.3
2021-07-22,100,58.7,73.4,21.4,19.8,23.1,96.8
2021-07-21,100,55.1,71.4,22.6,19.6,25.7,80
2021-07-20,100,61.8,78.2,27.1,23.6,31.8,64.1
2021-07-19,100,61.6,74.4,26.3,21.4,31,70.9
2021-07-18,100,57.9,74.4,24.3,21,28.8,77.9
2021-07-17,100,59.7,79.1,23.9,21.3,28.4,78.6
2021-07-16,100,62.8,79.3,23.7,21,29.2,76.4
2021-07-15,100,62,79.1,24.5,19.8,30.8,72.1
2021-07-14,100,58.5,71.3,22.8,19.9,26.7,78.5
2021-07-13,100,56,70.6,24.1,19.5,29.5,69
2021-07-12,100,54.8,67.5,23,18.5,28,71.1
2021-07-11,100,53.5,69.2,22.4,18.8,27.9,70.5
2021-07-10,100,54.5,70.2,22.8,19.7,28.6,67.9
2021-07-09,100,56.6,70.1,23.6,19.2,28.5,67
2021-07-08,100,51.8,61,22.9,17.6,29,73.3
2021-07-07,100,48.6,56.6,22.3,17.5,27.4,74
2021-07-07,100,48.6,56.6,20,19,21.4,92.1
2021-07-06,100,46.5,54.3,21.9,19.6,25,71.4
2021-07-05,100,47.6,54.9,24.3,20.3,28.9,59.9
2021-07-04,100,56,70.3,22.5,21.5,25.3,79.1
2021-07-03,100,54.2,62.7,24.8,18.9,30.2,68.8
2021-07-02,100,49.9,60.4,24.8,20.9,29.7,72.6
2021-07-01,100,49,61.2,24.2,18.2,30.2,74.6
2021-06-30,100,47.4,60.6,21.5,19.9,24.4,84.5
2021-06-29,100,48.3,57.4,24.9,20.5,29.8,68.5
2021-06-29,100,48.3,57.4,25.8,19.5,31.6,59.1
2021-06-28,100,47.2,57.4,23.6,18.8,29.5,69.6
2021-06-27,100,48.4,55.8,21.1,19.4,24,71.5
2021-06-26,100,46.4,52.1,23,18.4,28.2,69.6
2021-06-25,100,44.5,53.1,20.8,17,25.7,68.1
2021-06-24,100,45.1,57.5,18.5,13.3,23.6,69.4
2021-06-23,100,47.9,54.4,19.1,14.6,22.7,80.8
2021-06-22,100,45,50.3,23.2,16.6,29.7,64.4
2021-06-21,100,44.7,49,20.2,15.9,23.9,74.6
2021-06-20,100,43.7,50.6,19.9,16.5,23.8,78.9
2021-06-19,100,46,54.8,18.4,10.8,26.3,73
2021-06-18,100,49.8,58.2,15.4,12.8,19.1,79.8
2021-06-17,100,47.7,60.5,15.3,12.4,19.7,86
2021-06-16,100,50,54.1,15.8,13.9,18.7,83
2021-06-15,100,50.6,61.1,18,11.5,23,58.5
2021-06-14,100,48,51.9,15.3,11.9,19.3,72.3
2021-06-13,100,45.4,54.9,19.4,16.4,24.5,61
2021-06-13,100,45.4,54.9,19.5,14.3,25.1,64.4
2021-06-12,100,50.8,59.2,18.6,13.8,23.8,69.3
2021-06-11,100,51.8,57,16,14.2,18.2,86.5
2021-06-10,100,46.8,59,18.7,15.6,22.9,59.8
2021-06-09,100,44.5,54.3,19.9,12.4,26.6,52.3
2021-06-08,100,46.2,51.6,17.9,13.6,24.5,70.5
2021-06-07,100,41.6,45.9,15.3,14.2,16.7,93
2021-06-06,85.9,36.2,32.8,18.4,14.8,20.8,97.6
2021-06-06,85.9,36.2,32.8,22.1,20.8,26.2,79.5
2021-06-05,93.2,39.2,36.7,24.1,18,30.8,60.3
2021-06-04,100,45.2,46.3,22.9,16.6,29.6,54.4
2021-06-03,100,41.6,41.5,22,16.9,27.7,39.5
2021-06-02,100,40.7,43.4,18.5,9.4,25.7,48.9
2021-06-01,72.1,32.8,26.5,13.2,11.7,14.6,67.9
2021-05-31,83.2,30.8,29.2,15.7,10,21.8,51.3
2021-05-30,81,29.7,28.1,14.3,8.9,21,66.1
2021-05-29,89.3,32.5,34.2,14.4,10.7,17.2,60.3
2021-05-28,76,35.2,26.6,15.7,7.9,23.1,46.4
2021-05-27,78.2,30.2,26.4,13.9,10.3,18.4,64.4
2021-05-26,100,38.2,44,13.8,11.4,15.8,82.6
2021-05-25,91.5,37.9,38.9,14.1,8.4,20.3,56.4
2021-05-24,88.7,36.3,34.8,12.4,7.3,18.7,67.9
2021-05-23,90.9,33.8,33.7,10.2,8.5,15.3,80.8
2021-05-22,12.1,63.1,0,11.3,8.6,14.6,81.8
2021-05-21,81,37.5,31.2,14.6,10.9,20.1,54.1
2021-05-20,87.6,33.1,34.2,14.5,11.2,18.2,64.1
2021-05-19,90.9,33.1,32.7,15.4,12.5,20,62.4
2021-05-18,94.3,38.9,36.5,16.2,12.3,20.6,51.8
2021-05-17,100,45.4,58.6,18.2,12.6,24,50
2021-05-16,100,47,51.4,18.3,15.3,22.2,43
2021-05-15,100,44.3,46.3,19,17,21.7,41.4
2021-05-15,100,44.3,46.3,20.9,16.1,27.5,37.9
2021-05-14,100,43.4,46.4,19.1,10.3,28.2,43.1
2021-05-13,64.3,33.8,20.9,14.8,8.1,22,55.1
2021-05-12,77.1,28.4,23.5,12.2,5.8,19.4,65.3
2021-05-11,67.6,28.8,21.2,9.9,5.6,15.3,64.3
2021-05-10,61.5,24.9,17.2,9.6,6,14.6,56.6
2021-05-09,71.5,29.5,21.4,11.3,8.1,14.8,60
2021-05-08,56,27.3,15.5,11.6,6.3,18.3,62.3
2021-05-07,69.3,26.5,22.4,8.4,3.1,13.3,58.5
2021-05-06,75.4,29,23.1,10.4,5.7,13.5,74
2021-05-05,58.7,25,15.2,13.8,11.9,17.8,70.4
2021-05-05,58.7,25,15.2,15,7.5,21.8,45.4
2021-05-04,52.6,21.1,10.9,12.6,7.7,18.8,50
2021-05-03,59.3,17.5,13.3,13.6,7.6,19.6,39.3
2021-05-02,59.9,22,13.3,13,7.2,18,34
2021-05-01,72.6,26.9,23.3,14.1,8.1,20.4,47.5
2021-04-30,74.3,28.7,23.5,13.9,9.4,19.2,50.9
2021-04-29,81.5,29.7,28.6,11.9,5.4,19.3,47.9
2021-04-28,80.4,31.8,32.8,11.9,9,15.8,65.8
2021-04-27,82.1,34.7,30.7,14.9,10.9,18,80.8
2021-04-26,97.1,37.1,38.8,17.8,12.5,23,35.6
2021-04-26,97.1,37.1,38.8,17.7,12,24,33
2021-04-25,100,40,44.1,14.5,5.9,22.9,41
2021-04-24,100,39.9,43.7,10.8,4.1,18.2,47.3
2021-04-23,69.3,33.1,25,10.2,7.3,14.6,62.3
2021-04-22,57.1,25.5,15.7,9,7.7,13,95.8
2021-04-21,44.3,19.7,8.3,12.1,10.2,15,70.9
2021-04-20,43.2,16.5,3.8,12.6,4.8,20.6,58.4
2021-04-19,45.4,16.3,4.8,11.9,6.8,19,68.5
2021-04-18,57.1,21.7,11.8,10.8,5.7,16.9,61.5
2021-04-17,47.1,18.9,7.4,9.1,2.5,16.4,63.5
2021-04-16,29.3,13.7,0,6.2,1.1,11.1,55.3
2021-04-15,43.8,20.2,3.3,5.8,3.1,8.6,65.9
2021-04-14,78.2,26.8,26,9.9,7.4,14.7,74.6
2021-04-14,78.2,26.8,26,15.3,11.4,20.2,47.9
2021-04-13,53.7,26.4,12.9,11.7,5,18.4,50.1
2021-04-12,54.9,21.7,12.2,8.8,1.8,17.5,44.9
2021-04-11,54.3,24.1,12.3,8.4,4.9,13.1,52.5
2021-04-10,52.1,23.9,10.4,10.6,5.1,15.7,68.8
2021-04-09,57.1,24.9,14.4,9.1,4.9,14.7,71.4
2021-04-08,64.3,25.6,18,9.2,4.6,14.2,62.8
2021-04-07,42.1,18.8,4.9,10.5,7.2,14.9,57
2021-04-06,62.1,22.7,15.2,10.2,4.7,17.1,50.8
2021-04-05,72.6,30.3,22.4,8.8,1.7,17.1,61.8
2021-04-04,81.5,34.5,29.9,6.6,2.1,12.2,58.5
2021-04-03,78.7,33,28.7,7,1.5,13.9,60.3
2021-04-03,78.7,33,28.7,6.2,2.1,12.2,62.9
2021-04-02,44.9,23.5,8.1,6.6,3.2,11.6,69.5
2021-04-01,34.9,16.3,0.1,9,3,16.2,70.3
2021-03-31,52.6,18.3,9.1,7.2,2.5,13,62.4
2021-03-30,54.9,16,9.7,4.4,-1.2,9.9,64.4
2021-03-29,68.7,24.2,18.8,2.3,0.2,6.9,75.9
2021-03-28,12.1,42.6,0,4.7,0.5,9,91
2021-03-27,49.9,19.1,9.4,7.8,3.2,10.8,49
2021-03-26,43.8,17.7,10.4,9.5,4.3,16.2,48.6
2021-03-25,26,12.6,0,8.2,0.5,15.8,35
2021-03-25,26,12.6,0,4.2,0.7,8.2,35.1
2021-03-24,18.2,8.7,0,2.9,-3,10.1,33
2021-03-23,29.3,10.2,0,0,-3.1,4.3,34
2021-03-22,53.2,17.2,9.4,7.8,0.4,12.6,58.3
2021-03-21,75.4,29.2,25,10.8,4.7,17.4,66.6
2021-03-20,39.9,19.1,3.2,8.8,5.5,14.9,60.4
2021-03-19,22.1,10.3,0,1.6,-7.1,8.9,66.9
2021-03-19,22.1,10.3,0,-5.8,-10.6,-0.4,44.9
2021-03-18,39.3,13.9,0.5,-8.3,-10.4,-5.2,44.1
2021-03-17,40.4,18.4,2.3,-5.1,-7,-1.3,57.9
2021-03-16,39.3,14.5,1.2,1.2,-5.2,8.2,65.1
2021-03-15,37.6,15.4,0,9.5,6.4,13.8,47.6
2021-03-14,52.1,18.9,8.9,7.6,1,15.9,50.6
2021-03-13,38.2,15.5,1.7,6.5,0.6,14,60.6
2021-03-12,21.5,10.8,0,5.5,1.3,10.9,71.5
2021-03-12,21.5,10.8,0,3.4,-1.5,7.2,75.1
2021-03-11,23.8,8.8,0,-0.9,-6.1,4.7,51.9
2021-03-10,20.4,8.3,0,-3.1,-5.4,0.2,43.6
2021-03-09,23.8,7.5,0,3.6,-2.6,7.7,67
2021-03-08,29.9,9.5,0,6.8,4.3,9.5,80.4
2021-03-07,28.8,12.5,0,1.4,-4.4,6.7,71.8
2021-03-06,26,10,0,-3.6,-7.4,0.7,50.1
2021-03-05,5.4,4,0,-3.2,-9.4,1.4,64.6
2021-03-04,13.2,0.3,0,-5.6,-8.2,-2.4,44.1
2021-03-03,14.9,6,0,5,-2.3,9.5,74.5
2021-03-02,29.9,14.4,0,3.2,-3.8,8.7,57
2021-03-02,29.9,14.4,0,-1.6,-8.1,5.2,60
2021-03-01,36,14.1,0,-8.8,-11.6,-4.9,40
2021-02-28,14.9,10.2,0,-2.6,-9.7,1.4,52.3
2021-02-27,16,5.2,0,1.7,-1.8,6.5,47.6
2021-02-26,0,0,0,5.3,1.7,7.4,80.4
2021-02-25,0,0,0,7.9,3,13.9,62
2021-02-24,14.3,12.4,0,7.3,2.4,13.9,63.9
2021-02-23,38.2,17.2,1.8,7.6,4.8,12.2,66
2021-02-22,42.6,13.2,3.4,5.5,4.8,6.6,92.9
2021-02-21,0,0,0,4.5,2.5,7,64.4
2021-02-20,0,0,0,-0.1,-6.6,7.1,37.8
2021-02-19,12.1,0,0,-6.3,-11.6,-0.2,37.9
2021-02-18,0,0,0,-3.8,-9.1,0.2,64.3
2021-02-17,0,0,0,-5.5,-10.8,-1.3,58.5
2021-02-16,47.6,16.8,5.8,-4.9,-8.7,-0.7,59.3
2021-02-15,17.7,8.1,0,4.5,-0.7,9.9,67.4
2021-02-14,15.4,6.5,0,1.7,-3.6,7,46.5
2021-02-13,19.3,6.6,0,2,-3,8.3,80.3
2021-02-12,3.8,3.6,0,-3.9,-9.3,-0.5,79.5
2021-02-11,0,0,0,-6.7,-9.6,-4,62.1
2021-02-10,0,0,0,-7.7,-12.8,-2.7,54.4
2021-02-09,0,3.8,0,-12.2,-16.6,-7.5,46.3
2021-02-08,36,12.5,0,-14.9,-18.6,-10.7,44
2021-02-07,0,0,0,-14.5,-16.5,-8.4,49.9
2021-02-06,0,0,0,-7.4,-12,-1.9,54.6
